"meta_source","meta_time","meta_event","meta_session","timestamp","vehicle_id","outing","lap","value","expire_at"
"kafka:gr-raw","2025-04-26T21:43:13.981Z","I_R02_2025-04-27","R1","2025-04-26T21:43:12.083Z","GR86-002-2",0,2,1476949,
"kafka:gr-raw","2025-04-26T20:54:54.770Z","I_R02_2025-04-27","R1","2025-04-26T20:54:54.445Z","GR86-002-2",0,1,394717,
"kafka:gr-raw","2025-04-26T20:48:20.750Z","I_R02_2025-04-27","R1","2025-04-26T20:48:19.686Z","GR86-002-2",0,32768,2048484,
"kafka:gr-raw","2025-04-26T21:45:00.630Z","I_R02_2025-04-27","R1","2025-04-26T21:44:59.853Z","GR86-004-78",0,19,249700,
"kafka:gr-raw","2025-04-26T21:40:51.262Z","I_R02_2025-04-27","R1","2025-04-26T21:40:50.147Z","GR86-004-78",0,18,151200,
"kafka:gr-raw","2025-04-26T21:38:20.753Z","I_R02_2025-04-27","R1","2025-04-26T21:38:18.944Z","GR86-004-78",0,17,149779,
"kafka:gr-raw","2025-04-26T21:35:50.684Z","I_R02_2025-04-27","R1","2025-04-26T21:35:49.174Z","GR86-004-78",0,16,149821,
"kafka:gr-raw","2025-04-26T21:33:19.860Z","I_R02_2025-04-27","R1","2025-04-26T21:33:19.335Z","GR86-004-78",0,15,150800,
"kafka:gr-raw","2025-04-26T21:30:49.007Z","I_R02_2025-04-27","R1","2025-04-26T21:30:48.613Z","GR86-004-78",0,14,217990,
"kafka:gr-raw","2025-04-26T21:27:11.907Z","I_R02_2025-04-27","R1","2025-04-26T21:27:10.573Z","GR86-004-78",0,13,209546,
"kafka:gr-raw","2025-04-26T21:23:41.387Z","I_R02_2025-04-27","R1","2025-04-26T21:23:41.013Z","GR86-004-78",0,12,149731,
"kafka:gr-raw","2025-04-26T21:21:18.926Z","I_R02_2025-04-27","R1","2025-04-26T21:21:11.254Z","GR86-004-78",0,11,149780,
"kafka:gr-raw","2025-04-26T21:18:43.658Z","I_R02_2025-04-27","R1","2025-04-26T21:18:41.494Z","GR86-004-78",0,10,149289,
"kafka:gr-raw","2025-04-26T21:16:14.314Z","I_R02_2025-04-27","R1","2025-04-26T21:16:12.174Z","GR86-004-78",0,9,149245,
"kafka:gr-raw","2025-04-26T21:13:43.958Z","I_R02_2025-04-27","R1","2025-04-26T21:13:42.933Z","GR86-004-78",0,8,149465,
"kafka:gr-raw","2025-04-26T21:11:14.900Z","I_R02_2025-04-27","R1","2025-04-26T21:11:13.494Z","GR86-004-78",0,7,149511,
"kafka:gr-raw","2025-04-26T21:08:47.811Z","I_R02_2025-04-27","R1","2025-04-26T21:08:43.944Z","GR86-004-78",0,6,149868,
"kafka:gr-raw","2025-04-26T21:06:16.340Z","I_R02_2025-04-27","R1","2025-04-26T21:06:14.083Z","GR86-004-78",0,5,150212,
"kafka:gr-raw","2025-04-26T21:03:47.684Z","I_R02_2025-04-27","R1","2025-04-26T21:03:43.883Z","GR86-004-78",0,4,150090,
